Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,symmetric,0.5,0.42368407727225504
100% Corpus,8,symmetric,0.6,0.44786117497198336
100% Corpus,8,symmetric,0.7,0.4216216125611462
100% Corpus,8,symmetric,0.7999999999999999,0.40894791106863526
100% Corpus,8,symmetric,0.8999999999999999,0.4303094573445066
100% Corpus,8,symmetric,symmetric,0.3923396372351472
100% Corpus,8,asymmetric,0.5,0.4489627072949126
100% Corpus,8,asymmetric,0.6,0.47285152701876954
100% Corpus,8,asymmetric,0.7,0.46425868701524453
100% Corpus,8,asymmetric,0.7999999999999999,0.46368896481734845
100% Corpus,8,asymmetric,0.8999999999999999,0.4877827083339038
100% Corpus,8,asymmetric,symmetric,0.42754773064398294
100% Corpus,9,0.5,0.5,0.44525758093937884
100% Corpus,9,0.5,0.6,0.44548284950361683
100% Corpus,9,0.5,0.7,0.3911679662143327
100% Corpus,9,0.5,0.7999999999999999,0.338691888815289
100% Corpus,9,0.5,0.8999999999999999,0.38658569615577476
100% Corpus,9,0.5,symmetric,0.3897097432293307
100% Corpus,9,0.6,0.5,0.4514682813012096
100% Corpus,9,0.6,0.6,0.4488784654715093
100% Corpus,9,0.6,0.7,0.37556290691291283
100% Corpus,9,0.6,0.7999999999999999,0.3151820908464704
100% Corpus,9,0.6,0.8999999999999999,0.3648261070771043
100% Corpus,9,0.6,symmetric,0.39634697907665833
100% Corpus,9,0.7,0.5,0.4572903076113033
100% Corpus,9,0.7,0.6,0.4463937457104474
100% Corpus,9,0.7,0.7,0.3684973402515269
100% Corpus,9,0.7,0.7999999999999999,0.3288697958343477
100% Corpus,9,0.7,0.8999999999999999,0.36614771698959386
100% Corpus,9,0.7,symmetric,0.4208579720980399
100% Corpus,9,0.7999999999999999,0.5,0.46501310517375305
100% Corpus,9,0.7999999999999999,0.6,0.44249890985725476
100% Corpus,9,0.7999999999999999,0.7,0.3733709266093935
100% Corpus,9,0.7999999999999999,0.7999999999999999,0.31197949750575
100% Corpus,9,0.7999999999999999,0.8999999999999999,0.3418704394044496
100% Corpus,9,0.7999999999999999,symmetric,0.42911785441079586
100% Corpus,9,0.8999999999999999,0.5,0.4638609137837557
100% Corpus,9,0.8999999999999999,0.6,0.4293618205478358
100% Corpus,9,0.8999999999999999,0.7,0.3738031718066679
100% Corpus,9,0.8999999999999999,0.7999999999999999,0.32966684443146266
100% Corpus,9,0.8999999999999999,0.8999999999999999,0.3608337237046356
100% Corpus,9,0.8999999999999999,symmetric,0.42085600753678615
100% Corpus,9,symmetric,0.5,0.4570980287593276
100% Corpus,9,symmetric,0.6,0.43099259752643115
100% Corpus,9,symmetric,0.7,0.38137725820625634
100% Corpus,9,symmetric,0.7999999999999999,0.35620613116326205
100% Corpus,9,symmetric,0.8999999999999999,0.39466548318003347
100% Corpus,9,symmetric,symmetric,0.4035764895815131
100% Corpus,9,asymmetric,0.5,0.45195373601549615
100% Corpus,9,asymmetric,0.6,0.5091460046040097
100% Corpus,9,asymmetric,0.7,0.4884216851556502
100% Corpus,9,asymmetric,0.7999999999999999,0.4395557633842556
100% Corpus,9,asymmetric,0.8999999999999999,0.4545715794459657
100% Corpus,9,asymmetric,symmetric,0.4345533799288146
100% Corpus,10,0.5,0.5,0.45562298265704204
100% Corpus,10,0.5,0.6,0.4426687370293556
100% Corpus,10,0.5,0.7,0.39336489293937477
100% Corpus,10,0.5,0.7999999999999999,0.3696072335017546
100% Corpus,10,0.5,0.8999999999999999,0.4076481219686562
100% Corpus,10,0.5,symmetric,0.43945778720653095
